CelebrityName,Season,Week,RuleType,JudgeScore,JudgeScore_Normalization,Possible_Audience_Vote_Range,Predicted_Audience_Percent,Predicted_Audience_Rank,Loss_Total,Loss_Constraint,Loss_Smooth,Loss_Corr,Loss_Reg,Loss_Diversity,Loss_Trend,Status,Config_alpha_constraint,Config_beta_smooth,Config_gamma_corr,Config_delta_reg,Config_epsilon_diversity,Config_zeta_trend,Config_steps,Config_lr,Config_temperature,Config_rank_tau,Config_reg_type,Config_normal_sigma_factor,Config_longtail_alpha,Config_longtail_shift,Config_constraint_margin,Config_diversity_sigma,Percent_Predict,Rank_predict
Chris Jericho,12,3,Percent,21.0,9.8%,0.5%-17.9%,4.58,8.0,4.863212515541818,0.0,5.575671093538404e-05,0.5151818990707397,0.1913408488035202,0.217496320605278,0.1477812528610229,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Petra Nemcova,12,3,Percent,25.0,11.7%,5.2%-84.9%,27.54,1.0,4.863212515541818,0.0,5.575671093538404e-05,0.5151818990707397,0.1913408488035202,0.217496320605278,0.1477812528610229,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Romeo,12,3,Percent,20.0,9.3%,11.7%-52.1%,20.86,2.0,4.863212515541818,0.0,5.575671093538404e-05,0.5151818990707397,0.1913408488035202,0.217496320605278,0.1477812528610229,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Wendy Williams,12,3,Percent,15.0,7.0%,0.2%-11.8%,1.87,10.0,4.863212515541818,0.0,5.575671093538404e-05,0.5151818990707397,0.1913408488035202,0.217496320605278,0.1477812528610229,Eliminated (Place 10),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kendra Wilkinson,12,3,Percent,23.0,10.7%,1.7%-28.0%,11.72,3.0,4.863212515541818,0.0,5.575671093538404e-05,0.5151818990707397,0.1913408488035202,0.217496320605278,0.1477812528610229,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Ralph Macchio,12,4,Percent,25.0,12.1%,1.7%-33.7%,11.67,4.0,5.649085191165796,0.0001083638853742,0.0003451967204455,0.4866129755973816,0.1682387143373489,0.1854488402605056,0.3015292286872864,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Chelsea Kane,12,4,Percent,26.0,12.6%,2.4%-35.7%,15.49,2.0,5.649085191165796,0.0001083638853742,0.0003451967204455,0.4866129755973816,0.1682387143373489,0.1854488402605056,0.3015292286872864,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kirstie Alley,12,4,Percent,22.0,10.7%,1.1%-31.6%,8.61,6.0,5.649085191165796,0.0001083638853742,0.0003451967204455,0.4866129755973816,0.1682387143373489,0.1854488402605056,0.3015292286872864,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Hines Ward,12,4,Percent,25.0,12.1%,1.9%-31.9%,12.93,3.0,5.649085191165796,0.0001083638853742,0.0003451967204455,0.4866129755973816,0.1682387143373489,0.1854488402605056,0.3015292286872864,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Sugar Ray Leonard,12,4,Percent,21.0,10.2%,0.3%-14.6%,3.15,8.0,5.649085191165796,0.0001083638853742,0.0003451967204455,0.4866129755973816,0.1682387143373489,0.1854488402605056,0.3015292286872864,Eliminated (Place 9),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Chris Jericho,12,4,Percent,23.0,11.2%,0.8%-27.1%,6.31,7.0,5.649085191165796,0.0001083638853742,0.0003451967204455,0.4866129755973816,0.1682387143373489,0.1854488402605056,0.3015292286872864,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Petra Nemcova,12,4,Percent,23.0,11.2%,1.4%-65.1%,10.1,5.0,5.649085191165796,0.0001083638853742,0.0003451967204455,0.4866129755973816,0.1682387143373489,0.1854488402605056,0.3015292286872864,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Romeo,12,4,Percent,23.0,11.2%,15.9%-81.9%,30.07,1.0,5.649085191165796,0.0001083638853742,0.0003451967204455,0.4866129755973816,0.1682387143373489,0.1854488402605056,0.3015292286872864,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kendra Wilkinson,12,4,Percent,18.0,8.7%,0.1%-18.5%,1.66,9.0,5.649085191165796,0.0001083638853742,0.0003451967204455,0.4866129755973816,0.1682387143373489,0.1854488402605056,0.3015292286872864,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Ralph Macchio,12,5,Percent,22.0,11.3%,0.6%-16.7%,5.15,7.0,3.710829929535976,0.0,0.0001631630875635,0.2824456691741943,0.1514099240303039,0.1629193872213363,0.1919449567794799,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Chelsea Kane,12,5,Percent,26.0,13.4%,1.8%-25.0%,12.48,4.0,3.710829929535976,0.0,0.0001631630875635,0.2824456691741943,0.1514099240303039,0.1629193872213363,0.1919449567794799,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kirstie Alley,12,5,Percent,23.0,11.9%,1.5%-24.7%,10.82,5.0,3.710829929535976,0.0,0.0001631630875635,0.2824456691741943,0.1514099240303039,0.1629193872213363,0.1919449567794799,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Hines Ward,12,5,Percent,27.0,13.9%,2.5%-28.6%,16.15,2.0,3.710829929535976,0.0,0.0001631630875635,0.2824456691741943,0.1514099240303039,0.1629193872213363,0.1919449567794799,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Chris Jericho,12,5,Percent,26.0,13.4%,2.1%-27.4%,14.26,3.0,3.710829929535976,0.0,0.0001631630875635,0.2824456691741943,0.1514099240303039,0.1629193872213363,0.1919449567794799,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Petra Nemcova,12,5,Percent,22.0,11.3%,0.1%-12.6%,1.5,8.0,3.710829929535976,0.0,0.0001631630875635,0.2824456691741943,0.1514099240303039,0.1629193872213363,0.1919449567794799,Eliminated (Place 8),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Romeo,12,5,Percent,26.0,13.4%,21.8%-70.0%,30.98,1.0,3.710829929535976,0.0,0.0001631630875635,0.2824456691741943,0.1514099240303039,0.1629193872213363,0.1919449567794799,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kendra Wilkinson,12,5,Percent,22.0,11.3%,1.1%-21.2%,8.66,6.0,3.710829929535976,0.0,0.0001631630875635,0.2824456691741943,0.1514099240303039,0.1629193872213363,0.1919449567794799,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Ralph Macchio,12,6,Percent,24.0,13.3%,0.7%-16.8%,6.3,6.0,2.7585116586415097,0.0,0.0003179894993081,0.2063900828361511,0.1418870687484741,0.1261902600526809,0.1338674426078796,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Chelsea Kane,12,6,Percent,28.0,15.6%,2.3%-26.7%,15.59,3.0,2.7585116586415097,0.0,0.0003179894993081,0.2063900828361511,0.1418870687484741,0.1261902600526809,0.1338674426078796,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kirstie Alley,12,6,Percent,26.0,14.4%,2.7%-28.8%,17.98,2.0,2.7585116586415097,0.0,0.0003179894993081,0.2063900828361511,0.1418870687484741,0.1261902600526809,0.1338674426078796,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Hines Ward,12,6,Percent,27.0,15.0%,1.8%-24.6%,12.79,4.0,2.7585116586415097,0.0,0.0003179894993081,0.2063900828361511,0.1418870687484741,0.1261902600526809,0.1338674426078796,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Chris Jericho,12,6,Percent,22.0,12.2%,0.2%-10.9%,2.41,7.0,2.7585116586415097,0.0,0.0003179894993081,0.2063900828361511,0.1418870687484741,0.1261902600526809,0.1338674426078796,Eliminated (Place 7),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Romeo,12,6,Percent,28.0,15.6%,24.2%-64.9%,33.98,1.0,2.7585116586415097,0.0,0.0003179894993081,0.2063900828361511,0.1418870687484741,0.1261902600526809,0.1338674426078796,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kendra Wilkinson,12,6,Percent,25.0,13.9%,1.4%-24.0%,10.93,5.0,2.7585116586415097,0.0,0.0003179894993081,0.2063900828361511,0.1418870687484741,0.1261902600526809,0.1338674426078796,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Ralph Macchio,12,7,Percent,33.0,17.5%,3.4%-64.5%,21.79,2.0,7.8319825595244765,0.0001802760380087,0.000221598194912,0.9323945045471193,0.107555404305458,0.0862366259098053,0.3665745258331299,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Chelsea Kane,12,7,Percent,32.0,17.0%,1.6%-44.9%,12.35,4.0,7.8319825595244765,0.0001802760380087,0.000221598194912,0.9323945045471193,0.107555404305458,0.0862366259098053,0.3665745258331299,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kirstie Alley,12,7,Percent,30.0,15.9%,0.6%-31.8%,5.34,6.0,7.8319825595244765,0.0001802760380087,0.000221598194912,0.9323945045471193,0.107555404305458,0.0862366259098053,0.3665745258331299,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Hines Ward,12,7,Percent,33.0,17.5%,2.6%-61.7%,17.58,3.0,7.8319825595244765,0.0001802760380087,0.000221598194912,0.9323945045471193,0.107555404305458,0.0862366259098053,0.3665745258331299,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Romeo,12,7,Percent,30.0,15.9%,11.8%-89.6%,34.85,1.0,7.8319825595244765,0.0001802760380087,0.000221598194912,0.9323945045471193,0.107555404305458,0.0862366259098053,0.3665745258331299,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kendra Wilkinson,12,7,Percent,30.5,16.2%,1.0%-20.2%,8.08,5.0,7.8319825595244765,0.0001802760380087,0.000221598194912,0.9323945045471193,0.107555404305458,0.0862366259098053,0.3665745258331299,Eliminated (Place 6),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Ralph Macchio,12,8,Percent,23.0,17.7%,6.6%-18.5%,16.12,5.0,5.657957588322461,0.002949281129986,0.0,0.4009296298027038,0.0045909942127764,0.3890709578990936,0.1971451640129089,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Chelsea Kane,12,8,Percent,27.5,21.2%,14.4%-26.6%,20.12,3.0,5.657957588322461,0.002949281129986,0.0,0.4009296298027038,0.0045909942127764,0.3890709578990936,0.1971451640129089,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kirstie Alley,12,8,Percent,26.5,20.4%,15.8%-27.4%,21.02,2.0,5.657957588322461,0.002949281129986,0.0,0.4009296298027038,0.0045909942127764,0.3890709578990936,0.1971451640129089,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Hines Ward,12,8,Percent,27.0,20.8%,13.3%-25.0%,19.17,4.0,5.657957588322461,0.002949281129986,0.0,0.4009296298027038,0.0045909942127764,0.3890709578990936,0.1971451640129089,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Romeo,12,8,Percent,26.0,20.0%,21.7%-27.8%,23.56,1.0,5.657957588322461,0.002949281129986,0.0,0.4009296298027038,0.0045909942127764,0.3890709578990936,0.1971451640129089,Eliminated (Place 5),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Ralph Macchio,12,9,Percent,24.0,20.4%,1.3%-22.5%,10.71,4.0,5.120937667787075,0.0,0.0,0.6378071904182434,0.0605950765311718,0.0212253630161285,0.2465443015098571,Eliminated (Place 4),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Chelsea Kane,12,9,Percent,36.5,31.1%,11.0%-54.6%,30.26,2.0,5.120937667787075,0.0,0.0,0.6378071904182434,0.0605950765311718,0.0212253630161285,0.2465443015098571,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kirstie Alley,12,9,Percent,27.0,23.0%,28.3%-83.2%,40.09,1.0,5.120937667787075,0.0,0.0,0.6378071904182434,0.0605950765311718,0.0212253630161285,0.2465443015098571,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Hines Ward,12,9,Percent,30.0,25.5%,2.6%-32.0%,18.95,3.0,5.120937667787075,0.0,0.0,0.6378071904182434,0.0605950765311718,0.0212253630161285,0.2465443015098571,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Chelsea Kane,12,10,Percent,29.666600000000003,34.0%,3.5%-55.0%,25.32,2.0,13.7812294344767,0.0,0.0002130263601429,0.3477993607521057,0.0602989792823791,0.0247239768505096,1.6888713836669922,Eliminated (Place 3),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kirstie Alley,12,10,Percent,27.9999,32.1%,2.2%-56.6%,17.52,3.0,13.7812294344767,0.0,0.0002130263601429,0.3477993607521057,0.0602989792823791,0.0247239768505096,1.6888713836669922,Eliminated (Place 2),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Hines Ward,12,10,Percent,29.666600000000003,34.0%,23.5%-94.0%,57.16,1.0,13.7812294344767,0.0,0.0002130263601429,0.3477993607521057,0.0602989792823791,0.0247239768505096,1.6888713836669922,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
David Hasselhoff,11,1,Percent,15.0,6.6%,0.1%-9.4%,0.72,12.0,4.792819440364838,0.0,0.0,0.4555103778839111,0.1680025458335876,0.23787622153759,0.1753939390182495,Eliminated (Place 12),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Florence Henderson,11,1,Percent,18.0,7.9%,0.7%-18.9%,5.66,9.0,4.792819440364838,0.0,0.0,0.4555103778839111,0.1680025458335876,0.23787622153759,0.1753939390182495,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kyle Massey,11,1,Percent,23.0,10.1%,1.3%-23.8%,9.21,6.0,4.792819440364838,0.0,0.0,0.4555103778839111,0.1680025458335876,0.23787622153759,0.1753939390182495,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Jennifer Grey,11,1,Percent,24.0,10.6%,3.5%-37.3%,16.53,1.0,4.792819440364838,0.0,0.0,0.4555103778839111,0.1680025458335876,0.23787622153759,0.1753939390182495,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Rick Fox,11,1,Percent,22.0,9.7%,1.1%-21.4%,7.85,7.0,4.792819440364838,0.0,0.0,0.4555103778839111,0.1680025458335876,0.23787622153759,0.1753939390182495,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kurt Warner,11,1,Percent,19.0,8.4%,0.8%-18.9%,6.35,8.0,4.792819440364838,0.0,0.0,0.4555103778839111,0.1680025458335876,0.23787622153759,0.1753939390182495,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Margaret Cho,11,1,Percent,15.0,6.6%,0.2%-11.4%,1.64,11.0,4.792819440364838,0.0,0.0,0.4555103778839111,0.1680025458335876,0.23787622153759,0.1753939390182495,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Michael Bolton,11,1,Percent,16.0,7.0%,0.3%-12.5%,2.44,10.0,4.792819440364838,0.0,0.0,0.4555103778839111,0.1680025458335876,0.23787622153759,0.1753939390182495,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Brandy,11,1,Percent,23.0,10.1%,1.9%-28.5%,11.91,4.0,4.792819440364838,0.0,0.0,0.4555103778839111,0.1680025458335876,0.23787622153759,0.1753939390182495,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
The Situation,11,1,Percent,15.0,6.6%,2.5%-34.2%,14.88,2.0,4.792819440364838,0.0,0.0,0.4555103778839111,0.1680025458335876,0.23787622153759,0.1753939390182495,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Audrina Patridge,11,1,Percent,19.0,8.4%,1.5%-25.1%,10.14,5.0,4.792819440364838,0.0,0.0,0.4555103778839111,0.1680025458335876,0.23787622153759,0.1753939390182495,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Bristol Palin,11,1,Percent,18.0,7.9%,2.0%-28.7%,12.65,3.0,4.792819440364838,0.0,0.0,0.4555103778839111,0.1680025458335876,0.23787622153759,0.1753939390182495,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Florence Henderson,11,2,Percent,19.0,8.6%,0.8%-15.3%,5.98,9.0,3.776221618818454,0.0,7.743890819256194e-06,0.3113578557968139,0.1341301798820495,0.2546603977680206,0.1332153081893921,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kyle Massey,11,2,Percent,22.0,10.0%,1.2%-17.6%,8.47,6.0,3.776221618818454,0.0,7.743890819256194e-06,0.3113578557968139,0.1341301798820495,0.2546603977680206,0.1332153081893921,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Jennifer Grey,11,2,Percent,24.0,10.9%,4.8%-28.6%,15.62,1.0,3.776221618818454,0.0,7.743890819256194e-06,0.3113578557968139,0.1341301798820495,0.2546603977680206,0.1332153081893921,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Rick Fox,11,2,Percent,21.0,9.5%,0.9%-15.8%,6.57,8.0,3.776221618818454,0.0,7.743890819256194e-06,0.3113578557968139,0.1341301798820495,0.2546603977680206,0.1332153081893921,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kurt Warner,11,2,Percent,21.0,9.5%,1.1%-16.5%,7.69,7.0,3.776221618818454,0.0,7.743890819256194e-06,0.3113578557968139,0.1341301798820495,0.2546603977680206,0.1332153081893921,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Margaret Cho,11,2,Percent,18.0,8.1%,0.4%-12.0%,3.66,10.0,3.776221618818454,0.0,7.743890819256194e-06,0.3113578557968139,0.1341301798820495,0.2546603977680206,0.1332153081893921,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Michael Bolton,11,2,Percent,12.0,5.4%,0.0%-6.7%,0.3,11.0,3.776221618818454,0.0,7.743890819256194e-06,0.3113578557968139,0.1341301798820495,0.2546603977680206,0.1332153081893921,Eliminated (Place 11),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Brandy,11,2,Percent,21.0,9.5%,1.5%-20.2%,9.9,5.0,3.776221618818454,0.0,7.743890819256194e-06,0.3113578557968139,0.1341301798820495,0.2546603977680206,0.1332153081893921,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
The Situation,11,2,Percent,18.0,8.1%,6.7%-31.1%,15.57,2.0,3.776221618818454,0.0,7.743890819256194e-06,0.3113578557968139,0.1341301798820495,0.2546603977680206,0.1332153081893921,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Audrina Patridge,11,2,Percent,23.0,10.4%,1.9%-24.5%,12.24,4.0,3.776221618818454,0.0,7.743890819256194e-06,0.3113578557968139,0.1341301798820495,0.2546603977680206,0.1332153081893921,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Bristol Palin,11,2,Percent,22.0,10.0%,4.4%-27.2%,14.01,3.0,3.776221618818454,0.0,7.743890819256194e-06,0.3113578557968139,0.1341301798820495,0.2546603977680206,0.1332153081893921,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Florence Henderson,11,3,Percent,20.0,9.0%,0.5%-16.9%,4.17,9.0,5.251617926079234,0.0,1.0973121788993012e-05,0.5523695945739746,0.1324382722377777,0.2054011225700378,0.2004651427268982,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kyle Massey,11,3,Percent,23.0,10.4%,0.8%-20.4%,6.23,8.0,5.251617926079234,0.0,1.0973121788993012e-05,0.5523695945739746,0.1324382722377777,0.2054011225700378,0.2004651427268982,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Jennifer Grey,11,3,Percent,24.0,10.9%,2.4%-37.6%,14.99,3.0,5.251617926079234,0.0,1.0973121788993012e-05,0.5523695945739746,0.1324382722377777,0.2054011225700378,0.2004651427268982,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Rick Fox,11,3,Percent,24.0,10.9%,1.2%-21.4%,8.46,6.0,5.251617926079234,0.0,1.0973121788993012e-05,0.5523695945739746,0.1324382722377777,0.2054011225700378,0.2004651427268982,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kurt Warner,11,3,Percent,23.0,10.4%,1.0%-22.4%,7.49,7.0,5.251617926079234,0.0,1.0973121788993012e-05,0.5523695945739746,0.1324382722377777,0.2054011225700378,0.2004651427268982,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Margaret Cho,11,3,Percent,18.0,8.1%,0.1%-9.7%,0.78,10.0,5.251617926079234,0.0,1.0973121788993012e-05,0.5523695945739746,0.1324382722377777,0.2054011225700378,0.2004651427268982,Eliminated (Place 10),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Brandy,11,3,Percent,24.0,10.9%,1.8%-28.4%,12.09,4.0,5.251617926079234,0.0,1.0973121788993012e-05,0.5523695945739746,0.1324382722377777,0.2054011225700378,0.2004651427268982,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
The Situation,11,3,Percent,20.0,9.0%,4.7%-44.7%,18.78,1.0,5.251617926079234,0.0,1.0973121788993012e-05,0.5523695945739746,0.1324382722377777,0.2054011225700378,0.2004651427268982,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Audrina Patridge,11,3,Percent,26.0,11.8%,2.7%-39.5%,16.55,2.0,5.251617926079234,0.0,1.0973121788993012e-05,0.5523695945739746,0.1324382722377777,0.2054011225700378,0.2004651427268982,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Bristol Palin,11,3,Percent,19.0,8.6%,1.5%-26.0%,10.46,5.0,5.251617926079234,0.0,1.0973121788993012e-05,0.5523695945739746,0.1324382722377777,0.2054011225700378,0.2004651427268982,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Florence Henderson,11,4,Percent,17.5,9.8%,0.8%-19.3%,6.51,8.0,6.2074686996638775,0.0009994290303438,0.0,0.3632683753967285,0.0614501349627971,0.2647787630558014,0.4241783618927002,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kyle Massey,11,4,Percent,20.0,11.2%,1.1%-20.2%,8.15,6.0,6.2074686996638775,0.0009994290303438,0.0,0.3632683753967285,0.0614501349627971,0.2647787630558014,0.4241783618927002,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
